transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,amount_category,transaction_month
t0294,c041,2025-03-05,7848.0,netbanking,High,3
t0220,c022,2025-01-21,7561.0,wallet,High,1
t0201,c085,2025-01-13,6533.0,upi,High,1
t0300,c094,2025-01-06,1038.0,wallet,High,1
t0177,c104,2025-03-23,4943.0,cash,High,3
t0184,c090,2025-03-24,4071.0,cash,High,3
t0127,c140,2025-03-24,1192.0,netbanking,High,3
t0119,c057,2025-03-24,7806.0,upi,High,3
t0263,c074,2025-03-30,3479.0,cash,High,3
t0014,c051,2025-01-10,4178.0,cash,High,1
t0126,c114,2025-01-31,1827.0,upi,High,1
t0212,c047,2025-03-30,2912.0,netbanking,High,3
t0097,c145,2025-03-29,2985.0,card,High,3
t0219,c142,2025-01-14,2242.0,upi,High,1
t0290,c082,2025-01-31,2207.0,upi,High,1
t0121,c078,2025-03-05,1792.0,card,High,3
t0125,c009,2025-03-30,3759.0,netbanking,High,3
t0183,c030,2025-03-09,3376.0,upi,High,3
t0102,c001,2025-02-08,7151.0,upi,High,2
t0047,c077,2025-03-17,5203.0,wallet,High,3
t0164,c080,2025-02-11,9968.0,cash,High,2
t0181,c135,2025-01-11,5283.0,upi,High,1
t0222,c090,2025-01-04,1072.0,netbanking,High,1
t0217,c136,2025-02-23,3471.0,wallet,High,2
t0159,c069,2025-01-04,4677.0,upi,High,1
t0237,c012,2025-03-23,6316.0,upi,High,3
t0240,c091,2025-03-11,3068.0,netbanking,High,3
t0106,c071,2025-01-02,1003.0,wallet,High,1
t0111,c107,2025-01-23,2365.0,wallet,High,1
t0196,c027,2025-02-13,8466.0,card,High,2
t0271,c080,2025-02-20,8812.0,netbanking,High,2
t0073,c062,2025-01-21,9224.0,cash,High,1
t0265,c023,2025-03-29,5892.0,cash,High,3
t0091,c098,2025-02-10,8194.0,wallet,High,2
t0296,c130,2025-02-28,3724.0,wallet,High,2
t0034,c031,2025-03-10,3338.0,card,High,3
t0001,c104,2025-01-22,2291.0,wallet,High,1
t0238,c005,2025-02-15,5849.0,card,High,2
t0274,c033,2025-03-12,9830.0,card,High,3
t0061,c001,2025-01-03,9641.0,cash,High,1
t0113,c066,2025-03-03,5749.0,cash,High,3
t0255,c037,2025-03-19,770.0,card,High,3
t0066,c074,2025-03-26,9212.0,cash,High,3
t0023,c146,2025-03-20,5711.0,cash,High,3
t0032,c085,2025-02-15,4638.0,upi,High,2
t0064,c121,2025-02-14,5660.0,upi,High,2
t0026,c071,2025-03-13,8664.0,card,High,3
t0148,c117,2025-02-21,1757.0,upi,High,2
t0059,c021,2025-03-18,7278.0,upi,High,3
t0145,c136,2025-02-07,8482.0,wallet,High,2
t0009,c064,2025-01-26,2696.0,card,High,1
t0048,c016,2025-03-20,3604.0,card,High,3
t0096,c111,2025-01-19,8902.0,netbanking,High,1
t0213,c012,2025-02-22,4091.0,netbanking,High,2
t0058,c070,2025-03-06,8290.0,netbanking,High,3
t0100,c118,2025-02-02,7822.0,upi,High,2
t0063,c047,2025-03-16,8256.0,cash,High,3
t0179,c118,2025-03-30,1643.0,netbanking,High,3
t0072,c113,2025-03-31,2189.0,cash,High,3
t0107,c128,2025-02-06,5972.0,card,High,2
t0287,c107,2025-03-03,3542.0,upi,High,3
t0136,c005,2025-01-23,1058.0,card,High,1
t0120,c105,2025-01-15,942.0,cash,High,1
t0131,c053,2025-01-09,3594.0,wallet,High,1
t0282,c011,2025-01-04,944.0,wallet,High,1
t0033,c065,2025-01-30,3355.0,upi,High,1
t0083,c140,2025-02-18,5472.0,card,High,2
t0236,c130,2025-03-12,6597.0,netbanking,High,3
t0040,c004,2025-03-15,7890.0,netbanking,High,3
t0257,c099,2025-03-14,2713.0,netbanking,High,3
t0050,c045,2025-03-12,2764.0,cash,High,3
t0046,c058,2025-03-08,7581.0,netbanking,High,3
t0038,c033,2025-02-05,1093.0,wallet,High,2
t0225,c086,2025-01-19,827.0,upi,High,1
t0261,c128,2025-03-08,9402.0,cash,High,3
t0270,c142,2025-01-17,1612.0,cash,High,1
t0105,c148,2025-02-07,559.0,netbanking,High,2
t0188,c083,2025-03-22,2673.0,netbanking,High,3
t0108,c049,2025-03-21,2440.0,cash,High,3
t0076,c075,2025-03-07,7007.0,netbanking,High,3
t0295,c079,2025-03-05,1675.0,netbanking,High,3
t0029,c005,2025-01-12,3830.0,netbanking,High,1
t0162,c008,2025-01-12,3724.0,netbanking,High,1
t0199,c073,2025-02-19,5743.0,wallet,High,2
t0053,c019,2025-03-29,4534.0,wallet,High,3
t0114,c120,2025-01-10,3896.0,netbanking,High,1
t0163,c108,2025-02-28,2778.0,upi,High,2
t0223,c129,2025-02-17,6526.0,cash,High,2
t0007,c121,2025-01-03,1053.0,upi,High,1
t0202,c065,2025-03-26,2663.0,upi,High,3
t0286,c117,2025-01-10,2789.0,netbanking,High,1
t0278,c021,2025-02-02,9224.0,upi,High,2
t0027,c022,2025-01-31,8204.0,wallet,High,1
t0284,c008,2025-03-05,9138.0,upi,High,3
t0241,c123,2025-03-22,2409.0,cash,High,3
t0093,c059,2025-01-12,1812.0,cash,High,1
t0117,c068,2025-03-16,6286.0,cash,High,3
t0281,c040,2025-01-22,5731.0,wallet,High,1
t0269,c093,2025-03-12,6244.0,netbanking,High,3
