customer_id,transaction_id,transaction_date,transaction_amount,payment_mode,amount_category,transaction_month,customer_name,city,status
c041,t0294,2025-03-05,7848.0,netbanking,High,3,Customer_041,Hyd,inactive
c022,t0220,2025-01-21,7561.0,wallet,High,1,Customer_022,Kochi,active
c085,t0201,2025-01-13,6533.0,upi,High,1,Customer_085,Trivandrum,active
c094,t0300,2025-01-06,1038.0,wallet,High,1,Customer_094,Chennai,active
c104,t0177,2025-03-23,4943.0,cash,High,3,Customer_104,Mumbai,active
c090,t0184,2025-03-24,4071.0,cash,High,3,Customer_090,Kochi,active
c140,t0127,2025-03-24,1192.0,netbanking,High,3,Customer_140,Hyderabad,active
c057,t0119,2025-03-24,7806.0,upi,High,3,Customer_057,Trivandrum,active
c074,t0263,2025-03-30,3479.0,cash,High,3,Customer_074,Trivandrum,active
c051,t0014,2025-01-10,4178.0,cash,High,1,Customer_051,Trivandrum,active
c114,t0126,2025-01-31,1827.0,upi,High,1,Customer_114,Bengaluru,active
c047,t0212,2025-03-30,2912.0,netbanking,High,3,Customer_047,Pune,active
c145,t0097,2025-03-29,2985.0,card,High,3,Customer_145,Kochi,active
c142,t0219,2025-01-14,2242.0,upi,High,1,Customer_142,Chennai,active
c082,t0290,2025-01-31,2207.0,upi,High,1,Customer_082,Hyderabad,inactive
c078,t0121,2025-03-05,1792.0,card,High,3,Customer_078,Trivandrum,inactive
c009,t0125,2025-03-30,3759.0,netbanking,High,3,Customer_009,Pune,active
c030,t0183,2025-03-09,3376.0,upi,High,3,Customer_030,Chennai,active
c001,t0102,2025-02-08,7151.0,upi,High,2,Customer_001,Trivandrum,active
c077,t0047,2025-03-17,5203.0,wallet,High,3,Customer_077,Hyderabad,inactive
c080,t0164,2025-02-11,9968.0,cash,High,2,Customer_080,Chennai,inactive
c135,t0181,2025-01-11,5283.0,upi,High,1,Customer_135,Coimbatore,active
c090,t0222,2025-01-04,1072.0,netbanking,High,1,Customer_090,Kochi,active
c136,t0217,2025-02-23,3471.0,wallet,High,2,Customer_136,Chennai,active
c069,t0159,2025-01-04,4677.0,upi,High,1,Customer_069,Poona,active
c012,t0237,2025-03-23,6316.0,upi,High,3,Customer_012,Coimbatore,active
c091,t0240,2025-03-11,3068.0,netbanking,High,3,Customer_091,Hyderabad,active
c071,t0106,2025-01-02,1003.0,wallet,High,1,Customer_071,Chennai,active
c107,t0111,2025-01-23,2365.0,wallet,High,1,Customer_107,Hyderabad,active
c027,t0196,2025-02-13,8466.0,card,High,2,Customer_027,Coimbatore,inactive
c080,t0271,2025-02-20,8812.0,netbanking,High,2,Customer_080,Chennai,inactive
