id,value
0,50
1,6
2,7
3,95
4,29
5,25
6,37
7,14
8,19
9,78
10,37
11,40
12,32
13,2
14,75
15,28
16,53
17,76
18,82
19,99
20,30
21,68
22,71
23,57
24,64
25,51
26,4
27,69
28,60
29,39
30,79
31,89
32,12
33,53
34,10
35,39
36,58
37,10
38,64
39,3
40,21
41,52
42,33
43,60
44,28
45,94
46,70
47,75
48,40
49,15
50,44
51,44
52,28
53,97
54,17
55,14
56,65
57,20
58,86
59,99
60,93
61,96
62,37
63,76
64,59
65,37
66,78
67,91
68,4
69,48
70,54
71,99
72,72
73,31
74,77
75,97
76,76
77,98
78,24
79,24
80,38
81,27
82,87
83,23
84,86
85,44
86,60
87,58
88,82
89,32
90,3
91,6
92,7
93,47
94,3
95,37
96,57
97,32
98,41
99,16
100,63
101,25
102,35
103,86
104,47
105,99
106,37
107,69
108,47
109,63
110,40
111,69
112,96
113,85
114,60
115,42
116,58
117,63
118,21
119,48
120,51
121,59
122,17
123,94
124,67
125,84
126,98
127,53
128,50
129,58
130,34
131,88
132,8
133,75
134,17
135,44
136,34
137,57
138,54
139,28
140,93
141,44
142,27
143,55
144,5
145,66
146,56
147,5
148,53
149,38
150,38
151,28
152,16
153,45
154,54
155,30
156,37
157,69
158,97
159,3
160,24
161,86
162,86
163,66
164,1
165,60
166,53
167,65
168,22
169,94
170,20
171,38
172,16
173,86
174,59
175,96
176,44
177,2
178,47
179,84
180,93
181,7
182,13
183,7
184,74
185,45
186,77
187,82
188,29
189,55
190,7
191,47
192,30
193,12
194,86
195,1
196,53
197,97
198,86
199,17
200,64
201,24
202,27
203,87
204,63
205,43
206,22
207,79
208,56
209,80
210,21
211,82
212,86
213,88
214,34
215,45
216,15
217,76
218,74
219,4
220,26
221,8
222,18
223,49
224,36
225,67
226,45
227,93
228,50
229,40
230,57
231,91
232,70
233,96
234,47
235,29
236,68
237,95
238,77
239,5
240,19
241,67
242,70
243,44
244,67
245,86
246,4
247,1
248,19
249,41
250,80
251,38
252,23
253,82
254,3
255,31
256,35
257,65
258,79
259,29
260,19
261,8
262,86
263,34
264,42
265,2
266,9
267,3
268,81
269,23
270,20
271,53
272,98
273,34
274,6
275,5
276,72
277,81
278,32
279,97
280,98
281,92
282,36
283,78
284,79
285,67
286,72
287,31
288,29
289,71
290,96
291,81
292,42
293,30
294,90
295,77
296,21
297,4
298,84
299,15
300,71
301,51
302,55
303,78
304,68
305,54
306,99
307,48
308,87
309,3
310,86
311,51
312,36
313,61
314,24
315,69
316,10
317,56
318,48
319,35
320,24
321,93
322,6
323,82
324,35
325,78
326,26
327,84
328,60
329,91
330,91
331,57
332,61
333,72
334,95
335,12
336,4
337,84
338,21
339,57
340,28
341,35
342,23
343,93
344,59
345,70
346,61
347,73
348,41
349,45
350,41
351,4
352,87
353,13
354,16
355,38
356,94
357,32
358,6
359,82
360,27
361,51
362,53
363,91
364,27
365,46
366,81
367,66
368,63
369,13
370,52
371,81
372,60
373,92
374,49
375,19
376,18
377,61
378,37
379,39
380,74
381,28
382,32
383,17
384,94
385,57
386,57
387,67
388,78
389,15
390,69
391,62
392,98
393,34
394,8
395,95
396,17
397,34
398,47
399,15
400,26
401,26
402,9
403,71
404,4
405,20
406,19
407,24
408,32
409,71
410,52
411,56
412,54
413,1
414,40
415,40
416,82
417,80
418,67
419,90
420,62
421,93
422,21
423,96
424,10
425,78
426,83
427,4
428,76
429,66
430,56
431,64
432,43
433,74
434,83
435,50
436,98
437,31
438,76
439,81
440,33
441,3
442,14
443,83
444,26
445,85
446,49
447,66
448,38
449,28
450,52
451,29
452,26
453,43
454,22
455,72
456,88
457,21
458,16
459,74
460,53
461,69
462,42
463,11
464,63
465,5
466,5
467,5
468,24
469,5
470,25
471,85
472,92
473,48
474,37
475,40
476,46
477,61
478,94
479,21
480,89
481,58
482,44
483,8
484,19
485,77
486,54
487,45
488,30
489,16
490,56
491,21
492,38
493,33
494,59
495,84
496,70
497,35
498,22
499,84
500,71
501,74
502,71
503,51
504,50
505,87
506,18
507,49
508,84
509,73
510,43
511,24
512,48
513,27
514,49
515,4
516,4
517,77
518,73
519,43
520,88
521,7
522,77
523,94
524,32
525,12
526,38
527,35
528,11
529,80
530,19
531,41
532,56
533,50
534,21
535,59
536,28
537,36
538,23
539,73
540,20
541,94
542,87
543,9
544,56
545,43
546,37
547,56
548,91
549,56
550,29
551,17
552,20
553,23
554,49
555,18
556,45
557,21
558,64
559,6
560,64
561,13
562,35
563,40
564,96
565,46
566,45
567,44
568,26
569,52
570,50
571,53
572,83
573,82
574,51
575,73
576,39
577,39
578,76
579,92
580,23
581,91
582,83
583,7
584,16
585,34
586,64
587,9
588,24
589,68
590,49
591,93
592,3
593,61
594,66
595,85
596,86
597,56
598,56
599,6
600,17
601,53
602,74
603,83
604,28
605,36
606,32
607,35
608,16
609,66
610,4
611,66
612,11
613,48
614,41
615,63
616,62
617,88
618,53
619,87
620,43
621,33
622,93
623,7
624,56
625,15
626,96
627,93
628,26
629,88
630,44
631,58
632,49
633,74
634,51
635,70
636,83
637,41
638,77
639,35
640,25
641,3
642,42
643,22
644,2
645,19
646,36
647,28
648,62
649,79
650,88
651,79
652,33
653,68
654,4
655,79
656,29
657,11
658,77
659,85
660,43
661,33
662,30
663,40
664,26
665,8
666,67
667,55
668,92
669,62
670,18
671,89
672,27
673,95
674,83
675,96
676,27
677,53
678,94
679,66
680,68
681,96
682,49
683,90
684,48
685,64
686,61
687,74
688,77
689,72
690,94
691,85
692,34
693,62
694,10
695,54
696,66
697,73
698,1
699,66
700,43
701,12
702,48
703,67
704,87
705,35
706,66
707,58
708,56
709,46
710,67
711,33
712,97
713,6
714,73
715,62
716,35
717,94
718,10
719,20
720,19
721,47
722,1
723,37
724,59
725,61
726,56
727,84
728,61
729,39
730,43
731,60
732,62
733,87
734,28
735,38
736,38
737,21
738,19
739,23
740,25
741,19
742,6
743,2
744,32
745,5
746,5
747,74
748,82
749,99
750,5
751,21
752,68
753,38
754,22
755,1
756,44
757,69
758,70
759,56
760,74
761,42
762,65
763,35
764,49
765,26
766,91
767,34
768,58
769,91
770,65
771,89
772,87
773,12
774,11
775,21
776,41
777,40
778,56
779,68
780,13
781,56
782,81
783,84
784,82
785,85
786,1
787,35
788,81
789,63
790,41
791,93
792,35
793,18
794,26
795,96
796,62
797,50
798,43
799,28
800,56
801,75
802,48
803,99
804,44
805,48
806,67
807,57
808,15
809,91
810,27
811,41
812,8
813,9
814,87
815,13
816,65
817,36
818,11
819,24
820,75
821,51
822,52
823,56
824,12
825,44
826,72
827,57
828,15
829,71
830,41
831,82
832,53
833,99
834,2
835,13
836,20
837,99
838,94
839,7
840,46
841,5
842,79
843,51
844,32
845,62
846,34
847,51
848,84
849,44
850,96
851,51
852,29
853,30
854,32
855,68
856,11
857,66
858,39
859,64
860,91
861,92
862,60
863,29
864,37
865,46
866,96
867,90
868,87
869,40
870,81
871,7
872,89
873,44
874,16
875,19
876,11
877,94
878,30
879,2
880,74
881,93
882,98
883,55
884,84
885,25
886,15
887,97
888,17
889,43
890,38
891,7
892,19
893,3
894,54
895,44
896,76
897,71
898,81
899,24
900,32
901,73
902,69
903,26
904,78
905,78
906,99
907,95
908,37
909,52
910,98
911,94
912,9
913,33
914,50
915,26
916,36
917,63
918,27
919,22
920,44
921,1
922,16
923,95
924,15
925,18
926,53
927,51
928,17
929,29
930,41
931,85
932,77
933,21
934,74
935,67
936,78
937,66
938,6
939,16
940,61
941,58
942,13
943,62
944,82
945,30
946,84
947,69
948,63
949,78
950,86
951,24
952,64
953,45
954,67
955,97
956,43
957,53
958,60
959,88
960,45
961,77
962,72
963,88
964,25
965,48
966,78
967,9
968,24
969,15
970,44
971,60
972,88
973,9
974,89
975,91
976,88
977,33
978,89
979,89
980,20
981,87
982,19
983,89
984,9
985,75
986,14
987,26
988,74
989,21
990,54
991,21
992,96
993,11
994,28
995,37
996,57
997,95
998,93
999,23
